epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0486,1.79473,3.19471,1.85974,0.22638,0.28051,0.16702,0.07782,1.67444,2.57066,1.75332,0.00331439,0.00331439,0.0701705
2,101.76,1.5779,2.28284,1.64083,0.28451,0.26268,0.16647,0.0749,1.92073,2.78768,1.96137,0.00658191,0.00658191,0.0401046
3,151.138,1.68056,2.33185,1.69584,0.27771,0.2558,0.18707,0.08561,1.87281,2.57823,1.89799,0.00978344,0.00978344,0.00997283
4,205.382,1.78647,2.46438,1.79011,0.20637,0.25351,0.12248,0.05053,2.06929,2.98339,2.068,0.009703,0.009703,0.009703
5,255.971,1.78287,2.42382,1.77174,0.28696,0.23116,0.17489,0.06869,2.04736,2.83301,2.06168,0.009604,0.009604,0.009604
6,306.994,1.73275,2.3385,1.73833,0.30429,0.26011,0.19146,0.08643,1.92075,2.60299,2.00084,0.009505,0.009505,0.009505
7,358.779,1.70509,2.27669,1.73347,0.28376,0.27384,0.20706,0.0911,1.99131,2.67112,2.00151,0.009406,0.009406,0.009406
8,410.689,1.68431,2.21909,1.72047,0.32934,0.27625,0.21508,0.09689,1.9548,2.66454,2.04548,0.009307,0.009307,0.009307
9,465.056,1.64811,2.15885,1.70163,0.36739,0.34499,0.27235,0.12862,1.78851,2.42042,1.8482,0.009208,0.009208,0.009208
10,518.823,1.62063,2.14792,1.68213,0.34772,0.32805,0.27299,0.12216,1.88923,2.44477,1.95313,0.009109,0.009109,0.009109
11,572.208,1.61364,2.07004,1.67313,0.43389,0.38168,0.34494,0.16376,1.73809,2.17581,1.85906,0.00901,0.00901,0.00901
12,624.938,1.56405,1.99503,1.64408,0.47991,0.36581,0.34435,0.15968,1.72046,2.18715,1.8469,0.008911,0.008911,0.008911
13,678.162,1.56104,1.97697,1.63619,0.39763,0.34234,0.30755,0.14307,1.77034,2.33599,1.85077,0.008812,0.008812,0.008812
14,731.06,1.52625,1.92123,1.60396,0.47076,0.41388,0.38458,0.18597,1.71742,2.04871,1.8048,0.008713,0.008713,0.008713
15,784.294,1.5213,1.87597,1.58492,0.51934,0.38337,0.39143,0.19789,1.71835,2.06564,1.79121,0.008614,0.008614,0.008614
16,837.009,1.50505,1.85113,1.58042,0.48147,0.35507,0.34617,0.16064,1.77723,2.15469,1.82806,0.008515,0.008515,0.008515
17,890.194,1.47468,1.80727,1.56208,0.44435,0.40659,0.37642,0.18466,1.69075,2.08797,1.7746,0.008416,0.008416,0.008416
18,943.772,1.48699,1.7713,1.55753,0.46394,0.36942,0.35764,0.1786,1.7064,2.1719,1.79115,0.008317,0.008317,0.008317
19,997.23,1.4507,1.73518,1.54936,0.46774,0.45375,0.40626,0.20319,1.70347,1.96187,1.77041,0.008218,0.008218,0.008218
20,1050.56,1.45504,1.73914,1.54306,0.53226,0.41095,0.43272,0.21688,1.6654,1.96265,1.73277,0.008119,0.008119,0.008119
21,1104.21,1.42643,1.69483,1.51073,0.53718,0.40506,0.42322,0.22054,1.6314,1.92304,1.69495,0.00802,0.00802,0.00802
22,1157.55,1.43081,1.66673,1.51564,0.539,0.39145,0.41454,0.21083,1.64411,1.9489,1.71728,0.007921,0.007921,0.007921
23,1211.11,1.39997,1.62577,1.48635,0.53922,0.44801,0.45395,0.23051,1.62518,1.88542,1.69366,0.007822,0.007822,0.007822
24,1264.77,1.40715,1.63465,1.5055,0.5,0.42048,0.42357,0.21612,1.64573,1.96223,1.72233,0.007723,0.007723,0.007723
25,1318.18,1.36329,1.56871,1.47046,0.52417,0.41668,0.43882,0.22781,1.65299,1.89079,1.70426,0.007624,0.007624,0.007624
26,1371.87,1.37007,1.55914,1.46832,0.54085,0.46576,0.46335,0.24225,1.6131,1.85384,1.68145,0.007525,0.007525,0.007525
27,1425.39,1.34678,1.52379,1.44725,0.55195,0.46549,0.47108,0.24792,1.62436,1.8629,1.70954,0.007426,0.007426,0.007426
28,1479.09,1.32254,1.46734,1.42987,0.55315,0.42892,0.45022,0.22754,1.65225,1.9028,1.75274,0.007327,0.007327,0.007327
29,1532,1.3237,1.44932,1.43131,0.5139,0.47676,0.4612,0.24072,1.62372,1.86575,1.70627,0.007228,0.007228,0.007228
30,1585.13,1.31781,1.44367,1.42256,0.55498,0.4792,0.5038,0.26809,1.57737,1.80049,1.65859,0.007129,0.007129,0.007129
31,1638.38,1.29785,1.39438,1.40478,0.55675,0.47903,0.48673,0.26425,1.61494,1.78498,1.69422,0.00703,0.00703,0.00703
32,1691.64,1.30081,1.39143,1.41002,0.59026,0.46848,0.50197,0.26471,1.5815,1.76331,1.65077,0.006931,0.006931,0.006931
33,1745.73,1.27831,1.35007,1.38348,0.55559,0.45494,0.476,0.24391,1.6228,1.80831,1.69614,0.006832,0.006832,0.006832
34,1799.24,1.26884,1.35091,1.38366,0.57608,0.49026,0.48614,0.25745,1.62461,1.80273,1.71672,0.006733,0.006733,0.006733
35,1852.9,1.2481,1.33289,1.3817,0.60796,0.46873,0.49226,0.25827,1.57104,1.76475,1.67976,0.006634,0.006634,0.006634
36,1906.67,1.24282,1.28489,1.36428,0.53929,0.48003,0.47184,0.25174,1.61678,1.8128,1.70346,0.006535,0.006535,0.006535
37,1960.17,1.23999,1.29015,1.3673,0.58222,0.45302,0.47466,0.25607,1.61299,1.81535,1.68084,0.006436,0.006436,0.006436
38,2013.6,1.22264,1.23557,1.33931,0.60654,0.45598,0.48038,0.25464,1.6317,1.78376,1.71833,0.006337,0.006337,0.006337
39,2067.14,1.23212,1.24523,1.3591,0.60615,0.44808,0.49336,0.26686,1.60555,1.80734,1.67817,0.006238,0.006238,0.006238
40,2121.21,1.2079,1.22352,1.3358,0.61144,0.47304,0.50922,0.28324,1.59752,1.70452,1.65098,0.006139,0.006139,0.006139
41,2175.23,1.20013,1.20341,1.32398,0.59304,0.48153,0.51573,0.27921,1.5954,1.70653,1.66617,0.00604,0.00604,0.00604
42,2231.49,1.17476,1.15977,1.31862,0.56116,0.50447,0.50916,0.27045,1.61015,1.73246,1.68989,0.005941,0.005941,0.005941
43,2290.7,1.16861,1.15818,1.30972,0.58985,0.49688,0.50913,0.27486,1.59479,1.71432,1.64812,0.005842,0.005842,0.005842
44,2350.24,1.16554,1.15948,1.30225,0.61437,0.47209,0.50748,0.27663,1.6397,1.73883,1.71602,0.005743,0.005743,0.005743
45,2409.54,1.15452,1.13656,1.2942,0.56057,0.48805,0.49442,0.26248,1.62946,1.75903,1.70699,0.005644,0.005644,0.005644
46,2467.9,1.14752,1.09852,1.28982,0.612,0.46708,0.51807,0.27536,1.62484,1.71029,1.69244,0.005545,0.005545,0.005545
47,2527.46,1.12299,1.08597,1.27404,0.6017,0.47162,0.51043,0.28215,1.5782,1.69027,1.66664,0.005446,0.005446,0.005446
48,2586.94,1.11697,1.05983,1.26763,0.57283,0.49589,0.50891,0.27287,1.6269,1.74871,1.69853,0.005347,0.005347,0.005347
49,2646.81,1.1034,1.04176,1.25829,0.59827,0.51515,0.52698,0.29066,1.58777,1.66824,1.67913,0.005248,0.005248,0.005248
50,2706.78,1.11102,1.04666,1.26376,0.58415,0.50388,0.51517,0.27904,1.62884,1.71405,1.7042,0.005149,0.005149,0.005149
51,2766.98,1.09444,1.02202,1.25573,0.59545,0.47503,0.50071,0.27004,1.66084,1.74605,1.74518,0.00505,0.00505,0.00505
52,2827.12,1.08364,1.00974,1.24485,0.63576,0.46862,0.51877,0.27826,1.62087,1.68261,1.6955,0.004951,0.004951,0.004951
53,2887.77,1.07791,0.99908,1.23134,0.58933,0.48225,0.50392,0.26904,1.63298,1.73306,1.709,0.004852,0.004852,0.004852
54,2948.17,1.07438,0.98068,1.2281,0.58979,0.51274,0.5085,0.27487,1.60562,1.7119,1.68034,0.004753,0.004753,0.004753
55,3008.62,1.05668,0.96001,1.22759,0.60491,0.48519,0.50334,0.28335,1.62171,1.71026,1.69087,0.004654,0.004654,0.004654
56,3068.78,1.05111,0.94646,1.22074,0.61842,0.47905,0.50039,0.27694,1.60098,1.75729,1.68603,0.004555,0.004555,0.004555
57,3128.47,1.04103,0.91626,1.21691,0.64431,0.46812,0.51157,0.27956,1.61483,1.7308,1.69524,0.004456,0.004456,0.004456
58,3190.42,1.03623,0.92075,1.20732,0.6365,0.49173,0.52309,0.28979,1.60574,1.68032,1.67631,0.004357,0.004357,0.004357
59,3253.27,1.01328,0.89328,1.19317,0.60914,0.4902,0.50122,0.27367,1.64328,1.78131,1.74368,0.004258,0.004258,0.004258
60,3315.21,1.01318,0.8991,1.19483,0.61491,0.47948,0.51135,0.27368,1.61847,1.74878,1.70129,0.004159,0.004159,0.004159
61,3374.59,1.00589,0.87479,1.18786,0.60466,0.51661,0.53085,0.29542,1.59874,1.70066,1.68113,0.00406,0.00406,0.00406
62,3433.59,0.99968,0.86521,1.1862,0.62834,0.49626,0.52633,0.28476,1.62468,1.68654,1.72325,0.003961,0.003961,0.003961
